Dates,Prices,Year,Month
2020-10-31,10.1,2020,10
2020-11-30,10.3,2020,11
2020-12-31,11.0,2020,12
2021-01-31,10.9,2021,1
2021-02-28,10.9,2021,2
2021-03-31,10.9,2021,3
2021-04-30,10.4,2021,4
2021-05-31,9.84,2021,5
2021-06-30,10.0,2021,6
2021-07-31,10.1,2021,7
2021-08-31,10.3,2021,8
2021-09-30,10.2,2021,9
2021-10-31,10.1,2021,10
2021-11-30,11.2,2021,11
2021-12-31,11.4,2021,12
2022-01-31,11.5,2022,1
2022-02-28,11.8,2022,2
2022-03-31,11.5,2022,3
2022-04-30,10.7,2022,4
2022-05-31,10.7,2022,5
2022-06-30,10.4,2022,6
2022-07-31,10.5,2022,7
2022-08-31,10.4,2022,8
2022-09-30,10.8,2022,9
2022-10-31,11.0,2022,10
2022-11-30,11.6,2022,11
2022-12-31,11.6,2022,12
2023-01-31,12.1,2023,1
2023-02-28,11.7,2023,2
2023-03-31,12.0,2023,3
2023-04-30,11.5,2023,4
2023-05-31,11.2,2023,5
2023-06-30,10.9,2023,6
2023-07-31,11.4,2023,7
2023-08-31,11.1,2023,8
2023-09-30,11.5,2023,9
2023-10-31,11.8,2023,10
2023-11-30,12.2,2023,11
2023-12-31,12.8,2023,12
2024-01-31,12.6,2024,1
2024-02-29,12.4,2024,2
2024-03-31,12.7,2024,3
2024-04-30,12.1,2024,4
2024-05-31,11.4,2024,5
2024-06-30,11.5,2024,6
2024-07-31,11.6,2024,7
2024-08-31,11.5,2024,8
2024-09-30,11.8,2024,9
2024-10-31,12.618535277187247,2024,10
2024-11-30,12.997391580927044,2024,11
2024-12-31,13.574596669241485,2024,12
2025-01-31,13.33654599313281,2025,1
2025-02-28,13.016441400296898,2025,2
2025-03-31,13.463216876123687,2025,3
2025-04-30,12.871902411793961,2025,4
2025-05-31,12.095389579061024,2025,5
2025-06-30,12.148074069840787,2025,6
2025-07-31,12.316472842006823,2025,7
2025-08-31,12.073730482601949,2025,8
2025-09-30,12.518215380880509,2025,9
